VRN,VIN,YEAR,MAKE,MODEL,FUEL,COUNTRY
25,1GCWGAFP9M1227123,2021,CHEVROLET,Express,Gasoline,US
18,2GCVKPEC0K1135806,2019,CHEVROLET,Silverado LD,Gasoline,US
(n/a),3GCUKTEJ3JG149904,2018,CHEVROLET,Silverado,Gasoline,US
16,1FTEX1CP5JFC24279,2018,FORD,F-150,Gasoline,US
23,1GCZGUCG9E1135823,2014,CHEVROLET,Express,Gasoline,US
21,1GCWGFCA0E1149149,2014,CHEVROLET,Express,Gasoline,US
15,1FTNS2EW7DDA18809,2013,FORD,E-250,Gasoline,US
11,1FDSE3FLXCDA26594,2012,FORD,E-350,Gasoline,US
13,1FTNE24LX8DA02785,2008,FORD,E-250,Gasoline,US
14,1FTWW32P27EA45006,2007,FORD,F-350,Diesel,US
20,1FTWW33P86ED24005,2006,FORD,F-350,Diesel,US
19,1GTGG25V931105838(dash),2003,GMC,Savana,Gasoline,US
12,1FTNW20FX2EB82011,2002,FORD,F-250,Diesel,US
17,1FTRE1423XHA11788,1999,FORD,E-150,Gasoline,US
30,1GDK7C1C15F521548,2005,GMC,C7,Diesel,US
32,1FDAF57F31EB01754,2001,FORD,F-550,Diesel,US
,3C4PDCBB6FT591059,2015,DODGE,Journey,Gasoline,US
,1FTEW1E4XKKD50877,2019,FORD,F-150,Gasoline,US
,W1Y4EDHY2NT085512,2022,MERCEDES-BENZ,Sprinter,Diesel,US
